Season,Matchday,Team,Points,Rank
2019,1,Alaves,3,1
2019,1,Athletic Club,3,2
2019,1,Atletico Madrid,3,3
2019,1,Mallorca,3,4
2019,1,Osasuna,3,5
2019,1,Real Madrid,3,6
2019,1,Sevilla,3,7
2019,1,Valladolid,3,8
2019,1,Granada CF,1,9
2019,1,Real Sociedad,1,10
2019,1,Valencia,1,11
2019,1,Villarreal,1,12
2019,1,Barcelona,0,13
2019,1,Celta Vigo,0,14
2019,1,Eibar,0,15
2019,1,Espanyol,0,16
2019,1,Getafe,0,17
2019,1,Leganes,0,18
2019,1,Levante,0,19
2019,1,Real Betis,0,20
2019,2,Atletico Madrid,6,1
2019,2,Sevilla,6,2
2019,2,Alaves,4,3
2019,2,Athletic Club,4,4
2019,2,Osasuna,4,5
2019,2,Real Madrid,4,6
2019,2,Real Sociedad,4,7
2019,2,Valladolid,4,8
2019,2,Barcelona,3,9
2019,2,Celta Vigo,3,10
2019,2,Levante,3,11
2019,2,Mallorca,3,12
2019,2,Eibar,1,13
2019,2,Espanyol,1,14
2019,2,Getafe,1,15
2019,2,Granada CF,1,16
2019,2,Valencia,1,17
2019,2,Villarreal,1,18
2019,2,Leganes,0,19
2019,2,Real Betis,0,20
2019,3,Atletico Madrid,9,1
2019,3,Athletic Club,7,2
2019,3,Sevilla,7,3
2019,3,Levante,6,4
2019,3,Alaves,5,5
2019,3,Osasuna,5,6
2019,3,Real Madrid,5,7
2019,3,Barcelona,4,8
2019,3,Celta Vigo,4,9
2019,3,Granada CF,4,10
2019,3,Real Sociedad,4,11
2019,3,Valencia,4,12
2019,3,Valladolid,4,13
2019,3,Mallorca,3,14
2019,3,Real Betis,3,15
2019,3,Getafe,2,16
2019,3,Villarreal,2,17
2019,3,Eibar,1,18
2019,3,Espanyol,1,19
2019,3,Leganes,0,20
2019,4,Sevilla,10,1
2019,4,Atletico Madrid,9,2
2019,4,Athletic Club,8,3
2019,4,Real Madrid,8,4
2019,4,Barcelona,7,5
2019,4,Granada CF,7,6
2019,4,Real Sociedad,7,7
2019,4,Levante,6,8
2019,4,Osasuna,6,9
2019,4,Alaves,5,10
2019,4,Valladolid,5,11
2019,4,Villarreal,5,12
2019,4,Celta Vigo,4,13
2019,4,Espanyol,4,14
2019,4,Mallorca,4,15
2019,4,Real Betis,4,16
2019,4,Valencia,4,17
2019,4,Getafe,3,18
2019,4,Eibar,1,19
2019,4,Leganes,0,20
2019,5,Athletic Club,11,1
2019,5,Real Madrid,11,2
2019,5,Atletico Madrid,10,3
2019,5,Granada CF,10,4
2019,5,Real Sociedad,10,5
2019,5,Sevilla,10,6
2019,5,Villarreal,8,7
2019,5,Barcelona,7,8
2019,5,Levante,7,9
2019,5,Osasuna,7,10
2019,5,Getafe,6,11
2019,5,Alaves,5,12
2019,5,Celta Vigo,5,13
2019,5,Real Betis,5,14
2019,5,Valencia,5,15
2019,5,Valladolid,5,16
2019,5,Espanyol,4,17
2019,5,Mallorca,4,18
2019,5,Eibar,2,19
2019,5,Leganes,1,20
2019,6,Real Madrid,14,1
2019,6,Atletico Madrid,13,2
2019,6,Real Sociedad,13,3
2019,6,Athletic Club,12,4
2019,6,Granada CF,11,5
2019,6,Barcelona,10,6
2019,6,Sevilla,10,7
2019,6,Real Betis,8,8
2019,6,Villarreal,8,9
2019,6,Getafe,7,10
2019,6,Levante,7,11
2019,6,Osasuna,7,12
2019,6,Celta Vigo,6,13
2019,6,Valencia,6,14
2019,6,Valladolid,6,15
2019,6,Alaves,5,16
2019,6,Eibar,5,17
2019,6,Espanyol,5,18
2019,6,Mallorca,4,19
2019,6,Leganes,2,20
2019,7,Real Madrid,15,1
2019,7,Atletico Madrid,14,2
2019,7,Granada CF,14,3
2019,7,Barcelona,13,4
2019,7,Real Sociedad,13,5
2019,7,Sevilla,13,6
2019,7,Athletic Club,12,7
2019,7,Villarreal,11,8
2019,7,Valencia,9,9
2019,7,Valladolid,9,10
2019,7,Alaves,8,11
2019,7,Eibar,8,12
2019,7,Levante,8,13
2019,7,Osasuna,8,14
2019,7,Real Betis,8,15
2019,7,Getafe,7,16
2019,7,Celta Vigo,6,17
2019,7,Espanyol,5,18
2019,7,Mallorca,4,19
2019,7,Leganes,2,20
2019,8,Real Madrid,18,1
2019,8,Barcelona,16,2
2019,8,Atletico Madrid,15,3
2019,8,Granada CF,14,4
2019,8,Real Sociedad,13,5
2019,8,Sevilla,13,6
2019,8,Athletic Club,12,7
2019,8,Valencia,12,8
2019,8,Levante,11,9
2019,8,Osasuna,11,10
2019,8,Villarreal,11,11
2019,8,Getafe,10,12
2019,8,Valladolid,10,13
2019,8,Celta Vigo,9,14
2019,8,Eibar,9,15
2019,8,Real Betis,9,16
2019,8,Alaves,8,17
2019,8,Mallorca,7,18
2019,8,Espanyol,5,19
2019,8,Leganes,2,20
2019,9,Barcelona,19,1
2019,9,Real Madrid,18,2
2019,9,Granada CF,17,3
2019,9,Atletico Madrid,16,4
2019,9,Real Sociedad,16,5
2019,9,Sevilla,16,6
2019,9,Villarreal,14,7
2019,9,Athletic Club,13,8
2019,9,Getafe,13,9
2019,9,Valencia,13,10
2019,9,Alaves,11,11
2019,9,Levante,11,12
2019,9,Osasuna,11,13
2019,9,Valladolid,11,14
2019,9,Mallorca,10,15
2019,9,Celta Vigo,9,16
2019,9,Eibar,9,17
2019,9,Real Betis,9,18
2019,9,Espanyol,5,19
2019,9,Leganes,2,20
2019,10,Barcelona,20,1
2019,10,Granada CF,20,2
2019,10,Atletico Madrid,19,3
2019,10,Real Madrid,19,4
2019,10,Real Sociedad,19,5
2019,10,Sevilla,19,6
2019,10,Villarreal,17,7
2019,10,Osasuna,14,8
2019,10,Valladolid,14,9
2019,10,Athletic Club,13,10
2019,10,Getafe,13,11
2019,10,Valencia,13,12
2019,10,Alaves,11,13
2019,10,Levante,11,14
2019,10,Mallorca,10,15
2019,10,Celta Vigo,9,16
2019,10,Eibar,9,17
2019,10,Real Betis,9,18
2019,10,Espanyol,8,19
2019,10,Leganes,5,20
2019,11,Barcelona,23,1
2019,11,Real Madrid,22,2
2019,11,Atletico Madrid,20,3
2019,11,Granada CF,20,4
2019,11,Sevilla,20,5
2019,11,Real Sociedad,19,6
2019,11,Villarreal,17,7
2019,11,Athletic Club,16,8
2019,11,Getafe,16,9
2019,11,Osasuna,15,10
2019,11,Levante,14,11
2019,11,Valencia,14,12
2019,11,Valladolid,14,13
2019,11,Alaves,12,14
2019,11,Eibar,12,15
2019,11,Real Betis,12,16
2019,11,Mallorca,11,17
2019,11,Celta Vigo,9,18
2019,11,Espanyol,8,19
2019,11,Leganes,5,20
2019,12,Barcelona,23,1
2019,12,Real Madrid,23,2
2019,12,Real Sociedad,22,3
2019,12,Atletico Madrid,21,4
2019,12,Sevilla,21,5
2019,12,Granada CF,20,6
2019,12,Getafe,19,7
2019,12,Osasuna,18,8
2019,12,Villarreal,18,9
2019,12,Athletic Club,17,10
2019,12,Levante,17,11
2019,12,Valencia,17,12
2019,12,Valladolid,17,13
2019,12,Eibar,15,14
2019,12,Real Betis,13,15
2019,12,Alaves,12,16
2019,12,Mallorca,11,17
2019,12,Celta Vigo,9,18
2019,12,Espanyol,8,19
2019,12,Leganes,5,20
2019,13,Barcelona,26,1
2019,13,Real Madrid,26,2
2019,13,Atletico Madrid,24,3
2019,13,Sevilla,24,4
2019,13,Real Sociedad,23,5
2019,13,Athletic Club,20,6
2019,13,Getafe,20,7
2019,13,Granada CF,20,8
